,activityName,exitId,avaliable
298,com.taobao.trip.doraemon.app.atom.AtomHomeActivity,0,0
299,com.taobao.trip.doraemon.app.cmd.CmdHomeActivity,0,0
300,com.taobao.trip.doraemon.app.mtop.MtopControlCenteActivity,0,0
301,com.taobao.trip.doraemon.app.mtop.mockmtopcenter.MockLibraryActivity,0,0
302,com.taobao.trip.doraemon.app.uitest.UITestLabActivity,0,0
303,com.taobao.trip.doraemon.app.mtop.mockmtopcenter.MockCaseDetailActivity,0,0
304,com.taobao.trip.doraemon.app.mtop.mockmtopcenter.MtopDetailActivity,0,0
305,com.taobao.trip.doraemon.testcase.biz.flight.CustomPageActivity,0,0
306,com.taobao.trip.doraemon.testcase.biz.flight.FlightTestActivity,0,0
307,com.taobao.trip.doraemon.testcase.scene.badge.BadgeTestActivity,0,0
308,com.taobao.trip.doraemon.testcase.h5.PigeonTestActivity,0,0
309,com.taobao.trip.doraemon.app.block.BlockHomeActivity,0,0
310,com.taobao.trip.doraemon.testcase.scene.login.LoginTestActivity,0,0
311,com.taobao.trip.doraemon.testcase.scene.minipay.MiniPayTestActivity,0,0
312,com.taobao.trip.doraemon.testcase.scene.lbs.LbsTestActivity,0,0
313,com.taobao.trip.doraemon.testcase.scene.pushtest.PushTestActivity,0,0
314,com.taobao.trip.doraemon.testcase.scene.crash.CrashCaptureTestActivity,0,0
315,com.taobao.trip.doraemon.testcase.biz.vr.VrTestActivity,0,0
316,com.taobao.trip.doraemon.testcase.biz.live.LiveTestActivity,0,0
317,com.taobao.trip.doraemon.testcase.scene.video.RecordVideoTestActivity,0,0
318,com.taobao.trip.doraemon.testcase.biz.live.LiveMenuActivity,0,0
319,com.taobao.trip.doraemon.testcase.biz.live.LiveListActivity,0,0
320,com.taobao.trip.doraemon.testcase.biz.live.LiveFollowListActivity,0,0
321,com.taobao.trip.doraemon.testcase.biz.streammedia.SecondHomeTestActivity,0,0
322,com.taobao.trip.doraemon.testcase.biz.streammedia.SteamVideoDetailActivity,0,0
323,com.taobao.trip.doraemon.testcase.scene.windvane.WindvaneTestActivity,0,0
324,com.taobao.trip.doraemon.testcase.scene.push.NotifyMockActivity,0,0
325,com.taobao.trip.doraemon.testcase.biz.streammedia.StreamTestActivity,0,0
326,com.taobao.trip.doraemon.testcase.scene.controller.RecordControllerTestActivity,0,0
327,com.taobao.trip.doraemon.testcase.biz.discovery.DiscoveryTestActivity,0,0
328,com.taobao.trip.doraemon.testcase.biz.weex.WeexPageActivity,0,0
329,com.taobao.trip.doraemon.testcase.biz.storage.StorageOverflowActivity,0,0
330,com.taobao.trip.doraemon.testcase.biz.discovery.weexnest.NativeWeexNestActivity,0,0
331,com.taobao.trip.doraemon.testcase.biz.discovery.waterfall.WaterfallTestFramenActivity,0,0
332,com.taobao.trip.doraemon.testcase.biz.discovery.detailanimation.DiscoveryTestDragListActivity,0,0
333,com.taobao.trip.doraemon.testcase.scene.changeicon.ChangeAppIconTestActivity,0,0
334,com.taobao.trip.doraemon.testcase.biz.commonui.iconfont.IconFontListActivity,0,0
335,com.taobao.trip.doraemon.testcase.biz.commonui.CommonuiTestActivity,0,0
336,com.taobao.trip.doraemon.testcase.scene.ut.UTRealtimeActivity,0,0
337,com.taobao.trip.doraemon.testcase.biz.home.HomeTestActivity,0,0
338,com.taobao.trip.doraemon.testcase.biz.home.SplashConfigCheckActivity,0,0
339,com.taobao.trip.doraemon.testcase.biz.home.ActivityTabbarCheckActivity,0,0
